seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00002	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763086	150	*	X00003	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763086	150	*	X00003	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00007	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00014	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00014	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895441	896055	615	*	X00015	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895441	896055	615	*	X00015	26155	879583	894679	15097	-	761	upstream	761	NOC2L
chr1	901372	901408	37	*	X00016	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	936696	936994	299	*	X00021	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00025	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	955390	955471	82	*	X00026	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1051311	1051445	135	*	X00038	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052425	140	*	X00039	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1100535	1100684	150	*	X00047	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1101390	1101494	105	*	X00048	406984	1102484	1102578	95	+	989	upstream	989	MIR200B
chr1	1101390	1101494	105	*	X00048	406983	1103243	1103332	90	+	1748	upstream	1748	MIR200A
chr1	1101540	1101704	165	*	X00049	406984	1102484	1102578	95	+	779	upstream	779	MIR200B
chr1	1101540	1101704	165	*	X00049	406983	1103243	1103332	90	+	1538	upstream	1538	MIR200A
chr1	1101837	1101847	11	*	X00050	406984	1102484	1102578	95	+	636	upstream	636	MIR200B
chr1	1101837	1101847	11	*	X00050	406983	1103243	1103332	90	+	1395	upstream	1395	MIR200A
chr1	1102241	1102361	121	*	X00051	406984	1102484	1102578	95	+	122	upstream	122	MIR200B
chr1	1102241	1102361	121	*	X00051	406983	1103243	1103332	90	+	881	upstream	881	MIR200A
chr1	1102542	1102631	90	*	X00052	406984	1102484	1102578	95	+	0	overlapEnd	57	MIR200B
chr1	1102542	1102631	90	*	X00052	406983	1103243	1103332	90	+	611	upstream	611	MIR200A
chr1	1102542	1102631	90	*	X00052	554210	1104385	1104467	83	+	1753	upstream	1753	MIR429
chr1	1103067	1103186	120	*	X00053	406983	1103243	1103332	90	+	56	upstream	56	MIR200A
chr1	1103067	1103186	120	*	X00053	554210	1104385	1104467	83	+	1198	upstream	1198	MIR429
chr1	1209374	1209599	226	*	X00058	118424	1189292	1209234	19943	-	139	upstream	139	UBE2J2
chr1	1209863	1209967	105	*	X00059	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00061	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00062	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243281	87	*	X00063	126789	1243994	1247057	3064	+	712	upstream	712	PUSL1
chr1	1244950	1245054	105	*	X00065	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259231	1259500	270	*	X00066	80772	1260143	1264276	4134	+	642	upstream	642	CPTP
chr1	1259515	1259709	195	*	X00067	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00068	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00068	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00069	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00069	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284594	150	*	X00072	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285429	86	*	X00073	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00079	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00080	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1357245	1357397	153	*	X00084	441869	1353800	1356824	3025	-	420	upstream	420	ANKRD65
chr1	1361070	1361249	180	*	X00085	643965	1361508	1363167	1660	+	258	upstream	258	TMEM88B
chr1	1361310	1361639	330	*	X00086	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1406307	1406516	210	*	X00094	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00096	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1535645	1535729	85	*	X00101	643988	1533388	1535476	2089	-	168	upstream	168	FNDC10
chr1	1567257	1567491	235	*	X00103	8510	1567560	1570030	2471	+	68	upstream	68	MMP23B
chr1	1567803	1567919	117	*	X00104	8510	1567560	1570030	2471	+	0	inside	242	MMP23B
chr1	1822775	1823044	270	*	X00112	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00113	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850788	74	*	X00116	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1852565	1852624	60	*	X00117	339456	1849029	1850740	1712	-	1824	upstream	1824	TMEM52
chr1	1981357	1981416	60	*	X00123	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981717	96	*	X00124	5590	1981909	2116834	134926	+	191	upstream	191	PRKCZ
chr1	1981762	1981831	70	*	X00125	5590	1981909	2116834	134926	+	77	upstream	77	PRKCZ
